"StudyID","Author_Year","Location","Crop types","Cropping system","Organic fertilizer type","Substitution_ratio(%)","Year","Equal N?","P/K balanced?","Duration(years)","Soil depth(cm)","Indicator","Unit","Mean_E","SD_E","n_E","Mean_C","SD_C","n_C","DataType","Converted?","Notes","Mean_E_std","Mean_C_std","SD_E_std","SD_C_std","Depth_raw_norm","Depth_low_cm","Depth_high_cm","Depth_mid_cm","Soil_layer","Soil_layer_export","SD_E_imp","SD_C_imp","SD_E_src","SD_C_src","v_lnRR_check"
11,"李伟欣_2023","河北威县","小麦","单作","商品有机肥",100,"years_mean","Yes","Yes",5,"0-20","SOC","g·kg-1",6.4675174013921115,NA,3,4.53016241299304,NA,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",6.4675174013921115,4.53016241299304,NA,NA,"0-20",0,20,10,"0-10","0_10",0.3899907892450776,0.27316843623354764,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816803
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",12.5,"years_mean","Yes","Yes",2,"0-5","SOC","g·kg-1",9.292382338670544,0.5100679281901428,3,9.521033478893685,0.3341824357108676,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.724",9.292382338670544,9.521033478893685,0.5100679281901428,0.3341824357108676,"0-5",0,5,2.5,"0-10","0_10",0.5100679281901428,0.3341824357108676,"as_is","as_is",0.001414995366785784
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",25,"years_mean","Yes","Yes",2,"0-5","SOC","g·kg-1",11.737190684133884,1.020135856380403,3,9.521033478893685,0.3341824357108676,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.725",11.737190684133884,9.521033478893685,1.020135856380403,0.3341824357108676,"0-5",0,5,2.5,"0-10","0_10",1.020135856380403,0.3341824357108676,"as_is","as_is",0.002928717828321244
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",37.5,"years_mean","Yes","Yes",2,"0-5","SOC","g·kg-1",12.8628578360019,1.3367297428432974,3,9.521033478893685,0.3341824357108676,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.726",12.8628578360019,9.521033478893685,1.3367297428432974,0.3341824357108676,"0-5",0,5,2.5,"0-10","0_10",1.3367297428432974,0.3341824357108676,"as_is","as_is",0.00401056055401106
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",50,"years_mean","Yes","Yes",2,"0-5","SOC","g·kg-1",13.970936438622,1.8292091217855244,3,9.521033478893685,0.3341824357108676,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.727",13.970936438622,9.521033478893685,1.8292091217855244,0.3341824357108676,"0-5",0,5,2.5,"0-10","0_10",1.8292091217855244,0.3341824357108676,"as_is","as_is",0.006124842381326103
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",12.5,"years_mean","Yes","Yes",2,"5-10","SOC","g·kg-1",9.204439592430848,0.45730228044633736,3,8.799902959728257,0.49247937894228594,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.728",9.204439592430848,8.799902959728257,0.45730228044633736,0.49247937894228594,"5-10",5,10,7.5,"0-10","0_10",0.45730228044633736,0.49247937894228594,"as_is","as_is",0.0018667899453972542
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",25,"years_mean","Yes","Yes",2,"5-10","SOC","g·kg-1",10.68187772925759,2.4799854439592863,3,8.799902959728257,0.49247937894228594,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.729",10.68187772925759,8.799902959728257,2.4799854439592863,0.49247937894228594,"5-10",5,10,7.5,"0-10","0_10",2.4799854439592863,0.49247937894228594,"as_is","as_is",0.019011254581735363
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",37.5,"years_mean","Yes","Yes",2,"5-10","SOC","g·kg-1",10.646700630761757,1.1784327996118222,3,8.799902959728257,0.49247937894228594,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.730",10.646700630761757,8.799902959728257,1.1784327996118222,0.49247937894228594,"5-10",5,10,7.5,"0-10","0_10",1.1784327996118222,0.49247937894228594,"as_is","as_is",0.005127738657503136
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",50,"years_mean","Yes","Yes",2,"5-10","SOC","g·kg-1",11.631659388646272,0.38694808345461634,3,8.799902959728257,0.49247937894228594,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.731",11.631659388646272,8.799902959728257,0.38694808345461634,0.49247937894228594,"5-10",5,10,7.5,"0-10","0_10",0.38694808345461634,0.49247937894228594,"as_is","as_is",0.0014128899115881523
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",12.5,"years_mean","Yes","Yes",2,"10-30","SOC","g·kg-1",8.817491508976174,0.4573022804463961,3,8.448131974769474,0.2638282387190879,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.732",8.817491508976174,8.448131974769474,0.4573022804463961,0.2638282387190879,"10-30",10,30,20,"10-20","10_20",0.4573022804463961,0.2638282387190879,"as_is","as_is",0.0012216803122107017
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",25,"years_mean","Yes","Yes",2,"10-30","SOC","g·kg-1",11.684425036390078,0.562833575934009,3,8.448131974769474,0.2638282387190879,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.733",11.684425036390078,8.448131974769474,0.562833575934009,0.2638282387190879,"10-30",10,30,20,"10-20","10_20",0.562833575934009,0.2638282387190879,"as_is","as_is",0.0010985226412543695
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",37.5,"years_mean","Yes","Yes",2,"10-30","SOC","g·kg-1",11.191945657447793,0.7035419699175107,3,8.448131974769474,0.2638282387190879,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.734",11.191945657447793,8.448131974769474,0.7035419699175107,0.2638282387190879,"10-30",10,30,20,"10-20","10_20",0.7035419699175107,0.2638282387190879,"as_is","as_is",0.0016422746785743447
12,"谢丽华_2022","甘肃定西","玉米","单作","商品有机肥",50,"years_mean","Yes","Yes",2,"10-30","SOC","g·kg-1",11.104002911208095,2.040271712760808,3,8.448131974769474,0.2638282387190879,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.735",11.104002911208095,8.448131974769474,2.040271712760808,0.2638282387190879,"10-30",10,30,20,"10-20","10_20",2.040271712760808,0.2638282387190879,"as_is","as_is",0.011578794869187973
13,"王文军_2022","安徽蒙城","小麦、玉米","轮作","畜禽粪肥",20,"years_mean","Yes","Yes",10,"0-20","SOC","g·kg-1",12.064,NA,3,11.194895591647333,NA,3,"Mean±value","No","SD缺失",12.064,11.194895591647333,NA,NA,"0-20",0,20,10,"0-10","0_10",0.7274582485761713,0.6750513212941702,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816807
13,"王文军_2022","安徽蒙城","小麦、玉米","轮作","畜禽粪肥",40,"years_mean","Yes","Yes",10,"0-20","SOC","g·kg-1",12.296,NA,3,11.194895591647333,NA,3,"Mean±value","No","SD缺失",12.296,11.194895591647333,NA,NA,"0-20",0,20,10,"0-10","0_10",0.7414478302795592,0.6750513212941702,"from_cv_avg_all","from_cv_avg_all",0.0024240536592816807
13,"王文军_2022","安徽蒙城","小麦、玉米","轮作","畜禽粪肥",60,"years_mean","Yes","Yes",10,"0-20","SOC","g·kg-1",13.688,NA,3,11.194895591647333,NA,3,"Mean±value","No","SD缺失",13.688,11.194895591647333,NA,NA,"0-20",0,20,10,"0-10","0_10",0.8253853204998867,0.6750513212941702,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
13,"王文军_2022","安徽蒙城","小麦、玉米","轮作","畜禽粪肥",80,"years_mean","Yes","Yes",10,"0-20","SOC","g·kg-1",14.035999999999998,NA,3,11.194895591647333,NA,3,"Mean±value","No","SD缺失",14.035999999999998,11.194895591647333,NA,NA,"0-20",0,20,10,"0-10","0_10",0.8463696930549685,0.6750513212941702,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
13,"王文军_2022","安徽蒙城","小麦、玉米","轮作","畜禽粪肥",100,"years_mean","Yes","Yes",10,"0-20","SOC","g·kg-1",14.615999999999998,NA,3,11.194895591647333,NA,3,"Mean±value","No","SD缺失",14.615999999999998,11.194895591647333,NA,NA,"0-20",0,20,10,"0-10","0_10",0.8813436473134382,0.6750513212941702,"from_cv_avg_all","from_cv_avg_all",0.002424053659281681
14,"陈学_2022","新疆乌鲁木齐","小麦","单作","商品有机肥",100,"years_mean","Yes","No",1,"0-20","SOC","g·kg-1",18.014799999999997,1.0208,3,9.2104,0.4988,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.735",18.014799999999997,9.2104,1.0208,0.4988,"0-20",0,20,10,"0-10","0_10",1.0208,0.4988,"as_is","as_is",0.0020479195823832593
14,"陈学_2022","新疆乌鲁木齐","小麦","单作","商品有机肥",25,"years_mean","Yes","No",1,"0-20","SOC","g·kg-1",10.2254,1.3223999999999998,3,9.2104,0.4988,3,"Mean±value","Yes","±Value, tpyes not specified, assuming SD；SOC=SOM/1.735",10.2254,9.2104,1.3223999999999998,0.4988,"0-20",0,20,10,"0-10","0_10",1.3223999999999998,0.4988,"as_is","as_is",0.006552616726988241
