"StudyID","Author_Year","Location","Crop types","Cropping system","Organic fertilizer type","Substitution_ratio(%)","Year","Equal N?","P/K balanced?","Duration(years)","Soil depth(cm)","Indicator","Unit","Mean_E","SD_E","n_E","Mean_C","SD_C","n_C","DataType","Converted?","Notes","Mean_E_std","Mean_C_std","SD_E_std","SD_C_std","Depth_raw_norm","Depth_low_cm","Depth_high_cm","Depth_mid_cm","Soil_layer","Soil_layer_export"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","POC","g·kg-1",5.44,0.42,3,1.89,0.3,3,"Mean±SD","No","SD缺失",5.44,1.89,0.42,0.3,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","POC","g·kg-1",6.47,0.25,3,1.89,0.3,3,"Mean±SD","No","SD缺失",6.47,1.89,0.25,0.3,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","POC","g·kg-1",6.57,0.44,3,1.89,0.3,3,"Mean±SD","No","SD缺失",6.57,1.89,0.44,0.3,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","MAOC","g·kg-1",11.92,0.97,3,8.63,0.3,3,"Mean±SD","No","SD缺失",11.92,8.63,0.97,0.3,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","MAOC","g·kg-1",11.87,1.17,3,8.63,0.3,3,"Mean±SD","No","SD缺失",11.87,8.63,1.17,0.3,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","MAOC","g·kg-1",12,0.52,3,8.63,0.3,3,"Mean±SD","No","SD缺失",12,8.63,0.52,0.3,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","MAOC","g·kg-1",10.54,0.74,3,8.63,0.3,3,"Mean±SD","No","SD缺失",10.54,8.63,0.74,0.3,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","MAOC","g·kg-1",8.61,0.68,3,8.63,0.3,3,"Mean±SD","No","SD缺失",8.61,8.63,0.68,0.3,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","Ace","1",3934.67,302.04,3,3913.36,289.84,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",3934.67,3913.36,302.04,289.84,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","Ace","1",4740.59,215.11,3,3913.36,289.84,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",4740.59,3913.36,215.11,289.84,"0-20",0,20,10,"0-10","0_10"
